preferred_label,SNOMED_ID,UBERON_ID,Definition,synonyms,Source,Possible related names
anterior commissure,SNOMED:62872008,UBERON:0000935,"Myelinated nerve fibers passing transversely through the lamina terminalis and connecting symmetrically corresponding parts of the two cerebral hemispheres; connects olfactory bulbs, anterior perforated substance, and temporal lobes across the midline",AC; Anterior commissure; Structure of anterior commissure; anterior cerebral commissure; anterior commissural nucleus; commissura anterior; commissura anterior cerebri; commissura rostral; commissura rostralis; commissure anterior; paleocortical commissure; precommisure; rostral commissure,TRACULA ; MGH_HCP ; Bullock_2022 ; XTRACT ; TractSeg,anterior commissural nucleus | commissura anterior | commissura rostral | paleocortical commissure | precommisure | rostral commissure
corpus callosum,SNOMED:362354006,UBERON:0002336,"The largest commissural white matter structure of the brain, connecting homologous and heterologous regions of the left and right cerebral hemispheres via approximately 200-300 million myelinated axons; subdivided from anterior to posterior into the rostrum, genu, body, isthmus, and splenium.",callosal commissure,ICBM-DTI-81 ; Bullock_2022,
cingulum,SNOMED:37035000,UBERON:0003961,Long C-shaped association bundle running adjacent to the cingulate gyrus; includes dorsal (cingulate) and ventral (hippocampal) components,Cingulate fasciculus; Cingulum; Structure of cerebral cingulum; Structure of cingulum; cingulum; cingulum bundle; cingulum of telencephalon; neuraxis cingulum,TractSeg ; ICBM-DTI-81 ; Bullock_2022,cingulum of telencephalon | neuraxis cingulum
external capsule,SNOMED:279300007,UBERON:0004545,A sheet of white matter lateral to the putamen and medial to the claustrum; contains cortical association fibers including components of the inferior fronto-occipital fasciculus and uncinate fasciculus passing between frontal and temporal lobes.,External capsule; Structure of external capsule; brain external capsule; capsula externa; corpus callosum external capsule; external capsule,ICBM-DTI-81 ; Bullock_2022,capsula externa | corpus callosum external capsule
extreme capsule,SNOMED:279301006,UBERON:0014528,White matter lateral to the claustrum and medial to the insula; contains short and long association fibers connecting frontal and temporal lobes,EmC; band of Baillarger; capsula extrema,TRACULA ; MGH_HCP ; Bullock_2022,band of Baillarger | capsula extrema
Internal capsule,SNOMED:730172000,UBERON:0001887,"Large paired white matter structure positioned between the caudate nucleus and thalamus medially and the lentiform nucleus laterally; carries all ascending and descending projection fibers between the cerebral cortex and subcortical structures including the thalamus, brainstem and spinal cord. Divided into the anterior limb, genu, and posterior limb, with retrolenticular and sublenticular extensions.",ALIC; IC; PLIC; brain internal capsule; capsula interna; internal capsule; internal capsule radiations,ICBM-DTI-81,capsula interna
medial longitudinal fasciculus,SNOMED:28390009,UBERON:0002309,"Paired longitudinal brainstem tracts running near the midline through all three brainstem segments; composed of ascending and descending fibers coordinating conjugate eye movements via connections between the oculomotor, trochlear, and abducens nuclei. The main intersegmental tract of the brainstem. Lesions produce internuclear ophthalmoplegia, commonly seen in multiple sclerosis.",MLF; fasciculus longitudinalis medialis (pontis); medial longitudinal fasciculus of pons of varolius; medial longitudinal fasciculus of the pons; pons medial longitudinal fasciculus; pons of varolius medial longitudinal fasciculus,ICBM-DTI-81,fasciculus longitudinalis medialis | medial longitudinal fascicle | MLF
medial forebrain bundle,,UBERON:0001910,"A complex bundle of fibers connecting the olfactory regions, hypothalamus, and midbrain; includes dopaminergic projections of the reward system",medial forebrain fasciculus; telencephalic medial fasciculus; MFB,Bullock_2022,fasciculus longitudinalis telencephali medialis | fasciculus medialis telencephali | fasciculus medialis telencephalicus | fasciculus prosencephalicus medialis | medial forebrain bundles | median forebrain bundle
olfactory tract,SNOMED:362356008,UBERON:0002265,"The white matter stalk connecting the olfactory bulb to the olfactory trigone at the base of the frontal lobe; runs in the olfactory sulcus on the orbital surface of the frontal lobe. Carries mitral and tufted cell axons from the olfactory bulb to primary olfactory cortex (piriform cortex), amygdala, entorhinal cortex, and orbitofrontal cortex directly without thalamic relay — the only primary sensory modality to bypass the thalamus. At the olfactory trigone it bifurcates into the medial and lateral olfactory striae.",olfactory peduncle; olfactory stalk; pedunclulus olfactorius; pedunculus olfactorius; tractus olfactorium; tractus olfactorius,https://link.springer.com/rwe/10.1007/978-3-540-29678-2_4190,olfactory peduncle | olfactory stalk | pedunclulus olfactorius | tractus olfactorium | tractus olfactorius
corticospinal tract,SNOMED:1296739004,UBERON:0002707,Projection fibers from layer V pyramidal cells of the motor cortex descending through the internal capsule; decussate at the medullary pyramids to control contralateral voluntary movement,CST; corticospinal fibers; fasciculus cerebro-spinalis; fasciculus pyramidalis; fibrae corticospinales; pyramid (Willis); pyramidal tract; tractus cortico-spinalis; tractus corticospinalis; tractus pyramidalis,AFQ ; ICBM-DTI-81 ; Bullock_2022 ; XTRACT,
