field,f1,model,ci_lower,ci_upper,diff_mean,diff_ci_lower,diff_ci_upper,p_value_raw,p_value_fdr,sig_symbol
Does it use DTI?,0.982,GPT-4,0.9735537190082645,0.9893708345153269,0.00434227760943668,-0.0033363996747655,0.012446790305089103,0.270,0.362,
Human_vs_non_human_study,0.997,GPT-4,0.9930915371329879,0.9991659716430359,-0.0024874427252806145,-0.00773888363911697,0.0025234311231782268,0.430,0.430,
Does it study dementia or related diseases?,0.805,GPT-4,0.7766401774453641,0.8366925580012828,0.0347257788444535,0.011800910947409577,0.05938336199970994,0.002,0.012,*
Review or single study?,0.972,GPT-4,0.9581976741175678,0.9838969404186796,0.007321325387119829,-0.0015688832968295818,0.0169024673218254,0.132,0.362,
Which diseases are studied,0.585,GPT-4,0.5469019634955752,0.6246835241845176,-0.015742738807426916,-0.04611223787353833,0.013354027021670142,0.302,0.362,
WM tracts studied,0.485,GPT-4,0.45616641778662687,0.5122975554455328,-0.017405379230351386,-0.04219508487473982,0.00861086795246517,0.198,0.362,
Does it use DTI?,0.986,GPT-5,0.9793890913398273,0.992677270591097,0.00434227760943668,-0.0033363996747655,0.012446790305089103,0.270,0.362,
Human_vs_non_human_study,0.994,GPT-5,0.9890820252829212,0.9982905982905983,-0.0024874427252806145,-0.00773888363911697,0.0025234311231782268,0.430,0.430,
Does it study dementia or related diseases?,0.84,GPT-5,0.8138957927912683,0.8662170658909444,0.0347257788444535,0.011800910947409577,0.05938336199970994,0.002,0.012,*
Review or single study?,0.979,GPT-5,0.9678456591639871,0.9887861736334405,0.007321325387119829,-0.0015688832968295818,0.0169024673218254,0.132,0.362,
Which diseases are studied,0.57,GPT-5,0.5319554207071946,0.6057004300078125,-0.015742738807426916,-0.04611223787353833,0.013354027021670142,0.302,0.362,
WM tracts studied,0.467,GPT-5,0.4404287366803154,0.4967479271940636,-0.017405379230351386,-0.04219508487473982,0.00861086795246517,0.198,0.362,
