field,model,score,ci_lower,ci_upper,p_value_raw,p_value_fdr,sig_symbol
Does it use DTI?,GPT-4,0.965,0.9485530546623794,0.9790996784565916,0.326,0.489,
Does it use DTI?,GPT-5,0.973,0.9598070739549839,0.9855305466237942,0.326,0.489,
Human_vs_non_human_study,GPT-4,0.994,0.9871382636655949,0.9983922829581994,0.43,0.516,
Human_vs_non_human_study,GPT-5,0.989,0.9790996784565916,0.9967845659163987,0.43,0.516,
Does it study dementia or related diseases?,GPT-4,0.741,0.7089630225080386,0.7781350482315113,0.014,0.084,
Does it study dementia or related diseases?,GPT-5,0.778,0.7475482315112539,0.8102893890675241,0.014,0.084,
Review or single study?,GPT-4,0.971,0.9565916398713826,0.9823151125401929,0.13,0.26,
Review or single study?,GPT-5,0.979,0.9678456591639871,0.9887861736334405,0.13,0.26,
Which diseases are studied,GPT-4,0.5,0.4594014686019957,0.5441871166919652,0.92,0.92,
Which diseases are studied,GPT-5,0.501,0.461313078859188,0.5413142644527137,0.92,0.92,
WM tracts studied,GPT-4,0.331,0.30297562082371804,0.3582977201157992,0.036,0.108,
WM tracts studied,GPT-5,0.363,0.33163545926266186,0.39308814670375725,0.036,0.108,
